ID_pago;ID_venta;Fecha_pago;Pago
1;1;30/12/2015;266.737
2;2;20/01/2016;243.178
3;3;16/01/2016;89.052
4;4;04/01/2016;226.931
5;5;05/01/2016;142.253
6;6;10/01/2016;119.144
7;7;27/01/2016;50.835
8;8;30/01/2016;269.809
9;9;06/01/2016;128.047
10;10;17/01/2016;255.346
11;11;28/01/2016;78.383
12;12;23/01/2016;124.916
13;13;14/01/2016;367.162
14;14;28/01/2016;83.087
15;15;17/01/2016;102.542
16;16;23/01/2016;117.245
17;17;15/01/2016;44.855
18;18;16/01/2016;209.950
19;19;02/02/2016;59.076
20;20;12/01/2016;146.187
21;21;07/01/2016;252.624
22;22;25/01/2016;90.944
23;23;11/01/2016;179.866
24;24;20/01/2016;53.423
25;25;25/01/2016;146.335
26;26;22/01/2016;68.722
27;27;02/02/2016;82.416
28;28;20/01/2016;207.570
29;29;05/02/2016;94.196
30;30;13/01/2016;117.384
31;31;13/01/2016;175.671
32;32;31/01/2016;78.418
33;33;07/02/2016;188.013
34;34;10/02/2016;310.399
35;35;28/01/2016;224.971
36;36;19/01/2016;131.792
37;37;18/01/2016;145.071
38;38;29/01/2016;186.600
39;39;04/02/2016;144.372
40;40;24/01/2016;132.223
41;41;09/02/2016;177.732
42;42;18/01/2016;178.374
43;43;10/02/2016;72.464
44;44;27/01/2016;192.132
45;45;01/02/2016;356.382
46;46;19/01/2016;161.756
47;47;01/02/2016;31.177
48;48;12/02/2016;182.186
49;49;08/02/2016;40.210
50;50;11/02/2016;119.703
51;51;11/02/2016;71.077
52;52;17/02/2016;200.695
53;53;13/02/2016;179.843
54;54;07/02/2016;85.874
55;55;16/02/2016;122.904
56;56;06/02/2016;29.902
57;57;31/01/2016;64.091
58;58;05/02/2016;285.953
59;59;19/02/2016;171.727
60;60;01/02/2016;240.030
61;61;12/02/2016;142.605
62;62;20/02/2016;142.867
63;63;29/01/2016;92.268
64;64;17/02/2016;63.626
65;65;30/01/2016;179.604
66;66;18/02/2016;264.928
67;67;10/02/2016;118.615
68;68;23/02/2016;47.124
69;69;07/02/2016;276.551
70;70;09/02/2016;205.961
71;71;31/01/2016;242.490
72;72;17/02/2016;184.869
73;73;11/02/2016;40.005
74;74;20/02/2016;137.256
75;75;18/02/2016;23.482
76;76;14/02/2016;219.638
77;77;25/02/2016;138.124
78;78;01/02/2016;56.060
79;79;29/01/2016;315.060
80;80;08/02/2016;167.388
81;81;06/02/2016;226.530
82;82;26/02/2016;133.716
83;83;06/02/2016;58.884
84;84;28/02/2016;58.867
85;85;28/02/2016;115.665
86;86;27/02/2016;267.712
87;87;19/02/2016;97.359
88;88;11/02/2016;52.649
89;89;06/02/2016;27.464
90;90;29/02/2016;335.727
91;91;13/02/2016;90.451
92;92;18/02/2016;48.504
93;93;12/02/2016;115.252
94;94;09/02/2016;120.669
95;95;17/02/2016;82.977
96;96;28/02/2016;91.116
97;97;19/02/2016;78.192
98;98;11/02/2016;183.472
99;99;04/03/2016;258.404
100;100;06/03/2016;66.421
101;101;08/02/2016;88.836
102;102;23/02/2016;54.804
103;103;05/03/2016;148.511
104;104;03/03/2016;87.425
105;105;18/02/2016;231.812
106;106;28/02/2016;263.212
107;107;16/02/2016;223.914
108;108;14/02/2016;222.787
109;109;26/02/2016;191.025
110;110;06/03/2016;198.455
111;111;14/02/2016;119.333
112;112;21/02/2016;133.100
113;113;05/03/2016;110.905
114;114;12/03/2016;100.849
115;115;08/03/2016;54.843
116;116;28/02/2016;121.707
117;117;18/02/2016;215.501
118;118;13/02/2016;255.909
119;119;23/02/2016;38.498
120;120;14/02/2016;121.734
121;121;27/02/2016;86.108
122;122;01/03/2016;173.238
123;123;17/02/2016;182.669
124;124;04/03/2016;115.778
125;125;29/02/2016;133.399
126;126;18/02/2016;171.641
127;127;09/03/2016;135.889
128;128;21/02/2016;153.773
129;129;15/03/2016;170.490
130;130;03/03/2016;173.637
131;131;26/02/2016;59.668
132;132;15/03/2016;158.578
133;133;20/03/2016;48.995
134;134;08/03/2016;220.653
135;135;24/02/2016;28.681
136;136;01/03/2016;78.054
137;137;02/03/2016;85.769
138;138;24/02/2016;84.810
139;139;26/02/2016;66.740
140;140;09/03/2016;134.504
141;141;02/03/2016;56.934
142;142;17/03/2016;141.019
143;143;16/03/2016;163.815
144;144;12/03/2016;97.858
145;145;26/03/2016;39.443
146;146;08/03/2016;253.621
147;147;12/03/2016;91.798
148;148;04/03/2016;97.405
149;149;19/03/2016;186.563
150;150;03/03/2016;225.064
151;151;18/03/2016;157.488
152;152;22/03/2016;132.956
153;153;29/02/2016;54.332
154;154;26/03/2016;63.615
155;155;05/03/2016;175.449
156;156;02/03/2016;195.179
157;157;16/03/2016;236.491
158;158;09/03/2016;91.462
159;159;25/03/2016;70.397
160;160;16/03/2016;109.403
161;161;28/03/2016;163.185
162;162;30/03/2016;170.209
163;163;28/03/2016;145.136
164;164;24/03/2016;174.460
165;165;22/03/2016;125.138
166;166;02/04/2016;284.437
167;167;15/03/2016;171.344
168;168;06/03/2016;230.254
169;169;15/03/2016;260.009
170;170;03/04/2016;74.660
171;171;18/03/2016;169.830
172;172;10/03/2016;69.781
173;173;11/03/2016;300.059
174;174;19/03/2016;141.427
175;175;10/03/2016;52.117
176;176;01/04/2016;207.354
177;177;23/03/2016;178.876
178;178;30/03/2016;64.162
179;179;21/03/2016;106.041
180;180;07/04/2016;234.366
181;181;03/04/2016;45.948
182;182;08/04/2016;165.381
183;183;14/03/2016;180.815
184;184;01/04/2016;180.999
185;185;31/03/2016;263.741
186;186;21/03/2016;97.483
187;187;26/03/2016;114.878
188;188;29/03/2016;67.158
189;189;30/03/2016;157.700
190;190;24/03/2016;56.026
191;191;27/03/2016;53.915
192;192;20/03/2016;69.202
193;193;29/03/2016;56.706
194;194;01/04/2016;123.361
195;195;05/04/2016;31.356
196;196;11/04/2016;167.089
197;197;02/04/2016;64.967
198;198;03/04/2016;90.110
199;199;29/03/2016;105.292
200;200;07/04/2016;263.542
201;201;06/04/2016;131.373
202;202;13/04/2016;37.284
203;203;20/03/2016;112.849
204;204;24/03/2016;86.522
205;205;03/04/2016;250.299
206;206;21/03/2016;281.687
207;207;05/04/2016;167.265
208;208;30/03/2016;171.210
209;209;24/03/2016;205.493
210;210;31/03/2016;162.199
211;211;11/04/2016;266.780
212;212;03/04/2016;61.519
213;213;18/04/2016;241.564
