ID_Venta;Fecha_venta;ID_producto;ID_Zona;Venta;ID_Vendedor;ID_Cliente
1;29/12/2015 0:00;1;1;2133903;42;3
2;29/12/2015 0:00;2;2;1945424;5;1
3;29/12/2015 0:00;3;2;712416;20;10
4;30/12/2015 0:00;1;2;1815450;30;9
5;30/12/2015 0:00;4;3;1138024;41;8
6;31/12/2015 0:00;5;2;953156;18;3
7;31/12/2015 0:00;1;3;406686;36;9
8;31/12/2015 0:00;3;2;2158475;21;6
9;01/01/2016 0:00;6;1;1024380;13;10
10;01/01/2016 0:00;1;1;2042768;43;7
11;01/01/2016 0:00;3;2;627068;5;8
12;01/01/2016 0:00;5;2;999328;30;2
13;01/01/2016 0:00;1;4;2937300;28;5
14;01/01/2016 0:00;2;3;664700;15;6
15;01/01/2016 0:00;5;2;820336;5;1
16;02/01/2016 0:00;4;2;937960;17;4
17;02/01/2016 0:00;7;3;358846;16;3
18;03/01/2016 0:00;4;4;1679605;6;3
19;04/01/2016 0:00;6;2;472615;39;3
20;05/01/2016 0:00;3;4;1169496;19;3
21;06/01/2016 0:00;5;4;2020992;38;10
22;06/01/2016 0:00;3;1;727552;14;10
23;07/01/2016 0:00;4;2;1438929;4;8
24;07/01/2016 0:00;3;3;427390;45;2
25;07/01/2016 0:00;3;4;1170684;4;8
26;07/01/2016 0:00;2;3;549780;12;4
27;08/01/2016 0:00;2;3;659330;38;4
28;09/01/2016 0:00;4;4;1660560;41;8
29;09/01/2016 0:00;4;3;753571;43;1
30;09/01/2016 0:00;2;3;939072;31;5
31;10/01/2016 0:00;5;4;1405374;46;6
32;10/01/2016 0:00;7;2;627348;1;5
33;12/01/2016 0:00;2;4;1504110;29;1
34;12/01/2016 0:00;4;4;2483197;29;3
35;12/01/2016 0:00;5;3;1799771;13;9
36;13/01/2016 0:00;5;3;1054340;6;2
37;13/01/2016 0:00;2;2;1160572;43;6
38;14/01/2016 0:00;4;3;1492800;30;1
39;15/01/2016 0:00;1;3;1154980;7;5
40;15/01/2016 0:00;3;2;1057784;9;2
41;15/01/2016 0:00;6;4;1421860;36;3
42;16/01/2016 0:00;3;3;1426992;44;4
43;16/01/2016 0:00;3;2;579716;31;5
44;16/01/2016 0:00;4;2;1537062;32;8
45;17/01/2016 0:00;3;4;2851058;22;5
46;17/01/2016 0:00;3;1;1294048;22;1
47;17/01/2016 0:00;6;4;249418;13;10
48;17/01/2016 0:00;5;4;1457488;35;3
49;17/01/2016 0:00;2;2;321680;46;2
50;17/01/2016 0:00;2;3;957625;31;2
51;17/01/2016 0:00;5;1;568620;27;2
52;19/01/2016 0:00;2;1;1605564;33;10
53;19/01/2016 0:00;4;3;1438748;45;4
54;19/01/2016 0:00;4;4;686996;42;3
55;19/01/2016 0:00;2;2;983234;39;8
56;20/01/2016 0:00;6;1;239220;11;2
57;20/01/2016 0:00;3;1;512730;15;1
58;21/01/2016 0:00;2;2;2287626;29;2
59;21/01/2016 0:00;5;3;1373816;3;4
60;21/01/2016 0:00;3;1;1920240;2;9
61;21/01/2016 0:00;4;3;1140840;40;7
62;21/01/2016 0:00;5;3;1142938;22;8
63;22/01/2016 0:00;6;4;738144;30;3
64;23/01/2016 0:00;5;1;509010;40;9
65;23/01/2016 0:00;3;3;1436832;38;5
66;24/01/2016 0:00;4;1;2119424;38;10
67;24/01/2016 0:00;5;4;948927;11;2
68;24/01/2016 0:00;2;4;376992;13;9
69;24/01/2016 0:00;2;2;2212408;32;5
